,Ticker,Name
0,360ONE,360 ONE WAM Ltd.
1,3MINDIA,3M India Ltd.
2,ABB,ABB India Ltd.
3,ACC,ACC Ltd.
4,AIAENG,AIA Engineering Ltd.
5,APLAPOLLO,APL Apollo Tubes Ltd.
6,AUBANK,AU Small Finance Bank Ltd.
7,AARTIDRUGS,Aarti Drugs Ltd.
8,AARTIIND,Aarti Industries Ltd.
9,AAVAS,Aavas Financiers Ltd.
10,ABBOTINDIA,Abbott India Ltd.
11,ADANIENT,Adani Enterprises Ltd.
12,ADANIGREEN,Adani Green Energy Ltd.
13,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
14,ADANIPOWER,Adani Power Ltd.
15,ATGL,Adani Total Gas Ltd.
16,ADANITRANS,Adani Transmission Ltd.
17,AWL,Adani Wilmar Ltd.
18,ABCAPITAL,Aditya Birla Capital Ltd.
19,ABFRL,Aditya Birla Fashion and Retail Ltd.
20,AEGISCHEM,Aegis Logistics Ltd.
21,AETHER,Aether Industries Ltd.
22,AFFLE,Affle (India) Ltd.
23,AJANTPHARM,Ajanta Pharmaceuticals Ltd.
24,APLLTD,Alembic Pharmaceuticals Ltd.
25,ALKEM,Alkem Laboratories Ltd.
26,ALKYLAMINE,Alkyl Amines Chemicals Ltd.
27,AMARAJABAT,Amara Raja Batteries Ltd.
28,AMBER,Amber Enterprises India Ltd.
29,AMBUJACEM,Ambuja Cements Ltd.
30,ANGELONE,Angel One Ltd.
31,ANURAS,Anupam Rasayan India Ltd.
32,APARINDS,Apar Industries Ltd.
33,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
34,APOLLOTYRE,Apollo Tyres Ltd.
35,APTUS,Aptus Value Housing Finance India Ltd.
36,ACI,Archean Chemical Industries Ltd.
37,ASAHIINDIA,Asahi India Glass Ltd.
38,ASHOKLEY,Ashok Leyland Ltd.
39,ASIANPAINT,Asian Paints Ltd.
40,ASTERDM,Aster DM Healthcare Ltd.
41,ASTRAL,Astral Ltd.
42,ATUL,Atul Ltd.
43,AUROPHARMA,Aurobindo Pharma Ltd.
44,AVANTIFEED,Avanti Feeds Ltd.
45,DMART,Avenue Supermarts Ltd.
46,AXISBANK,Axis Bank Ltd.
47,BASF,BASF India Ltd.
48,BEML,BEML Ltd.
49,BLS,BLS International Services Ltd.
